Sector	Site #	Location	count time	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	prior to 2000
bridge	2	Burnside Bridge	4-6pm	468	422	411	435	373	352	407	265	252	-	-	138	-	193	-	-
bridge	4	Sellwood Bridge	4-6pm	133	99	135	91	79	96	-	97	91	-	-	-	-	-	-	83
bridge	176	Morrison Bridge & SW Alder Ramp	4-6pm	160	157	172	-	151	-	-	-	9	-	-	-	-	-	-	23
city center	71	SW Taylor & 13th	7-9am	60	57	55	-	35	61	72	74	36	-	44	-	-	-	50	39
city center	72	SW Salmon & 14th (pm)	4-6pm	100	123	127	106	133	104	108	86	74	-	-	-	-	-	42	49
city center	73	SW 6th & Jackson	7-9am	68	85	97	77	72	72	87	52	119	-	-	-	-	-	-	48
city center	79	SW Broadway & Jackson	4-6pm	109	142	83	192	136	-	-	113	103	-	-	-	-	-	69	51
city center	83	SW Waterfront Park & Harbor Way	4-6pm	580	535	477	441	442	-	392	290	191	204	-	-	-	-	-	163
city center	84	SW Jefferson & 13th	4-6pm	122	124	127	165	130	154	99	118	77	-	-	-	-	-	67	46
city center	89	SW Moody & River Parkway	4-6pm	451	446	401	372	331	258	340	-	144	-	-	-	191	-	-	-
city center	93	SW Waterfront Park & Ankeny	4-6pm	778	799	689	597	673	502	530	440	420	-	-	-	-	175	-	162
city center	94	SW Waterfront Park & Morrison	4-6pm	809	722	607	692	767	678	599	536	440	-	-	-	298	143	-	243
city center	119	SW Broadway & Mill	4-6pm	128	142	148	156	124	150	147	-	-	-	-	-	-	-	-	-
city center	146	SW Broadway & Montgomery	4-6pm	174	-	236	260	202	215	-	-	-	-	-	-	-	-	-	-
city center	147	SW Stark & 9th	4-6pm	168	192	157	151	-	-	-	-	-	-	-	-	-	-	-	-
city center	148	SW Park & Oak	4-6pm	142	151	155	152	129	-	-	-	-	-	-	-	-	-	-	-
city center	156	SW Broadway & Main	7-9am	287	239	235	251	159	-	-	-	-	-	-	-	-	-	-	-
city center	157	SW Naito & Clay	7-9am	-	173	195	-	-	225	-	-	-	-	-	-	-	-	-	-
city center	158	SW Main & 9th	7-9am	128	114	106	-	-	127	-	-	-	-	-	-	-	-	-	-
city center	159	SW Park (NB) & Market	4-6pm	63	58	-	73	65	-	-	-	-	-	-	-	-	-	-	-
city center	161	NW Broadway & Hoyt	4-6pm	567	496	520	481	-	383	-	-	-	-	-	-	-	-	-	-
city center	162	NW Broadway & Couch	4-6pm	466	382	308	374	357	363	-	-	-	-	-	-	-	-	-	-
city center	164	SW Burnside & 13th/Stark	4-6pm	132	81	108	87	92	96	-	-	-	-	-	-	-	-	-	-
city center	200	SW Broadway & 6th (S of I-405)	4-6pm	190	211	317	225	281	205	218	-	-	-	-	-	-	-	-	-
city center	214	SW River Parkway & River Dr	4-6pm	250	234	174	-	-	-	-	149	-	-	-	-	-	-	-	-
city center	215	SW Naito & Morrison Bridge	7-9am	-	180	204	-	-	-	-	-	-	-	-	-	-	-	-	-
city center	216	SW Stark & 4th	4-6pm	391	446	367	-	-	-	-	-	-	-	-	-	-	-	-	-
city center	217	SW 5th & Jackson/Lincoln	4-6pm	64	53	77	-	-	-	-	-	-	-	-	-	-	-	-	-
city center	218	SW Oak & 3rd	7-9am	257	269	237	-	-	-	-	-	-	-	-	-	-	-	-	-
city center	255	SW Naito & Ankeny	4-6pm	375	367	337	-	-	-	168	-	-	-	-	-	-	-	-	-
city center	271	SW Columbia & 14th (NEW)	7-9am	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
city center	272	SW Salmon & 14th (am)	7-9am	117	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
city center	273	SW Jefferson & 12th	4-6pm	90	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
city center	274	SW Lincoln & 1st	4-6pm	105	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
east	18	NE Marine Drive & PDX Trail	4-6pm	-	54	78	93	84	-	-	39	-	-	-	-	-	-	-	-
east	22	NE Halsey & 92nd	4-6pm	29	37	28	29	30	32	38	24	22	-	-	-	-	-	-	-
east	24	E Burnside & 122nd	4-6pm	70	108	80	113	80	73	-	85	90	-	-	-	-	-	-	-
east	27	NE Fremont & 122nd	4-6pm	21	28	29	31	28	35	30	15	-	-	-	-	-	-	-	-
east	28	NE Halsey & 122nd	4-6pm	49	-	76	67	60	39	67	-	-	-	-	-	-	-	-	-
east	29	NE Halsey & 148th	4-6pm	10	23	23	29	19	20	31	-	-	-	-	-	-	-	-	-
east	46	SE Springwater & 122nd	4-6pm	125	139	138	163	-	105	85	81	-	-	-	-	-	-	-	-
east	47	SE Powell & 148th	4-6pm	32	27	-	-	32	38	41	36	-	-	-	-	-	-	-	-
east	57	SE Flavel & 92nd	4-6pm	132	166	147	146	126	77	82	53	111	-	-	-	-	-	-	73
east	58	SE Flavel & Deardorf	4-6pm	-	6	-	-	-	8	-	-	-	-	-	-	-	-	-	-
east	60	SE Springwater & I-205 Path	4-6pm	276	198	275	241	193	-	75	-	-	-	-	-	-	-	-	-
east	63	SE Mill & 135th	4-6pm	26	29	46	54	-	39	26	-	-	-	-	-	-	-	-	-
east	133	NE Airport Wy & I-205 path	4-6pm	-	69	91	117	71	102	89	-	-	-	-	-	-	-	-	-
east	135	NE Maywood Place & I-205 Path	4-6pm	54	58	59	56	30	52	41	-	-	-	-	-	-	-	-	-
east	136	E Burnside & I-205 path	4-6pm	166	86	150	-	116	93	90	-	-	-	-	-	-	-	-	-
