"","Sector","Site..","Location","count.time","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","prior.to.2000","LocationFull","lon","lat.1","commute"
"1","bridge",2,"Burnside Bridge","4-6pm","468","422","411",435,373,352,407,265,252,NA,NA,138,NA,193,NA,NA,"Burnside Bridge Portland OR",-122.667385,45.523044,"Evening"
"2","bridge",4,"Sellwood Bridge","4-6pm","133","99","135",91,79,96,NA,97,91,NA,NA,NA,NA,NA,NA,83,"Sellwood Bridge Portland OR",-122.660142,45.5125799,"Evening"
"3","bridge",176,"Morrison Bridge at SW Alder Ramp","4-6pm","160","157","172",NA,151,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,23,"Morrison Bridge at SW Alder Ramp Portland OR",-122.6764816,45.5230622,"Evening"
"4","city center",71,"SW Taylor at 13th","7-9am","60","57","55",NA,35,61,72,74,36,NA,44,NA,NA,NA,50,39,"SW Taylor at SW 13th Portland OR",-122.6889631,45.5158437,"Morning"
"5","city center",72,"SW Salmon at 14th (pm)","4-6pm","100","123","127",106,133,104,108,86,74,NA,NA,NA,NA,NA,42,49,"SW Salmon at SW 14th Portland OR",-122.6872652,45.5191126,"Evening"
"6","city center",73,"SW 6th at Jackson","7-9am","68","85","97",77,72,72,87,52,119,NA,NA,NA,NA,NA,NA,48,"SW 6th at SW Jackson Portland OR",-122.6840521,45.5090897,"Morning"
"7","city center",79,"SW Broadway at Jackson","4-6pm","109","142","83",192,136,NA,NA,113,103,NA,NA,NA,NA,NA,69,51,"SW Broadway at SW Jackson Portland OR",-122.6850075,45.5093526,"Evening"
"8","city center",83,"SW Waterfront Park at Harbor Way","4-6pm","580","535","477",441,442,NA,392,290,191,204,NA,NA,NA,NA,NA,163,"SW Waterfront Park at SW Harbor Way Portland OR",-122.6747662,45.5109325,"Evening"
"9","city center",84,"SW Jefferson at 13th","4-6pm","122","124","127",165,130,154,99,118,77,NA,NA,NA,NA,NA,67,46,"SW Jefferson at SW 13th Portland OR",-122.6873094,45.5168208,"Evening"
"10","city center",89,"SW Moody at River Parkway","4-6pm","451","446","401",372,331,258,340,NA,144,NA,NA,NA,191,NA,NA,NA,"SW Moody at SW River Parkway Portland OR",-122.6734457,45.5068999,"Evening"
"11","city center",93,"SW Waterfront Park at Ankeny","4-6pm","778","799","689",597,673,502,530,440,420,NA,NA,NA,NA,175,NA,162,"SW Waterfront Park at SW Ankeny Portland OR",-122.679065,45.5226302,"Evening"
"12","city center",94,"SW Waterfront Park at Morrison","4-6pm","809","722","607",692,767,678,599,536,440,NA,NA,NA,298,143,NA,243,"SW Waterfront Park at SW Morrison Portland OR",-122.6805713,45.5196228,"Evening"
"13","city center",119,"SW Broadway at Mill","4-6pm","128","142","148",156,124,150,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Broadway at SW Mill Portland OR",-122.683193,45.5126929,"Evening"
"14","city center",146,"SW Broadway at Montgomery","4-6pm","174",NA,"236",260,202,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Broadway at SW Montgomery Portland OR",-122.6835591,45.5120179,"Evening"
"15","city center",147,"SW Stark at 9th","4-6pm","168","192","157",151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Stark at SW 9th Portland OR",-122.6800412,45.521749,"Evening"
"16","city center",148,"SW Park at Oak","4-6pm","142","151","155",152,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Park at SW Oak Portland OR",-122.6791192,45.522271,"Evening"
"17","city center",156,"SW Broadway at Main","7-9am","287","239","235",251,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Broadway at SW Main Portland OR",-122.6810562,45.5166862,"Morning"
"18","city center",157,"SW Naito at Clay","7-9am",NA,"173","195",NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Naito at SW Clay Portland OR",-122.6755634,45.5121457,"Morning"
"19","city center",158,"SW Main at 9th","7-9am","128","114","106",NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Main at SW 9th Portland OR",-122.6567036,45.5136507,"Morning"
"20","city center",159,"SW Park (NB) at Market","4-6pm","63","58",NA,73,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Park at SW Market Portland OR",-122.6843533,45.5137506,"Evening"
"21","city center",161,"NW Broadway at Hoyt","4-6pm","567","496","520",481,NA,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NW Broadway at SW Hoyt Portland OR",-122.6775945,45.5273228,"Evening"
"22","city center",162,"NW Broadway at Couch","4-6pm","466","382","308",374,357,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NW Broadway at SW Couch Portland OR",-122.6774324,45.5237572,"Evening"
"23","city center",164,"SW Burnside at 13th/Stark","4-6pm","132","81","108",87,92,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Burnside at SW 13th/Stark Portland OR",-122.684079,45.5229255,"Evening"
"24","city center",200,"SW Broadway at 6th (S of I-405)","4-6pm","190","211","317",225,281,205,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Broadway at SW 6th Portland OR",-122.6842534,45.5071338,"Evening"
"25","city center",214,"SW River Parkway at River Dr","4-6pm","250","234","174",NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,"SW River Parkway at SW River Dr Portland OR",-122.674325,45.5071382,"Evening"
"26","city center",215,"SW Naito at Morrison Bridge","7-9am",NA,"180","204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Naito at SW Morrison Bridge Portland OR",-122.671806,45.5192784,"Morning"
"27","city center",216,"SW Stark at 4th","4-6pm","391","446","367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Stark at SW 4th Portland OR",-122.6754741,45.5205327,"Evening"
"28","city center",217,"SW 5th at Jackson/Lincoln","4-6pm","64","53","77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW 5th at SW Lincoln Portland OR",-122.6830535,45.5080359,"Evening"
"29","city center",218,"SW Oak at 3rd","7-9am","257","269","237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Oak at SW 3rd Portland OR",-122.6740905,45.5209131,"Morning"
"30","city center",255,"SW Naito at Ankeny","4-6pm","375","367","337",NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Naito at SW Ankeny Portland OR",-122.6703015,45.5225068,"Evening"
